id,ticker,stonk
567,RDFN,Redfin Corporation Common Stock
568,REG,Regency Centers Corporation Common Stock
569,REGN,Regeneron Pharmaceuticals Inc. Common Stock
570,REYN,Reynolds Consumer Products Inc. Common Stock
571,RGEN,Repligen Corporation Common Stock
572,RGLD,Royal Gold Inc. Common Stock
573,RIVN,Rivian Automotive Inc. Class A Common Stock
574,RKLB,Rocket Lab USA Inc. Common Stock
575,RLAY,Relay Therapeutics Inc. Common Stock
576,RMBS,Rambus Inc. Common Stock
577,RNST,Renasant Corporation Common Stock
578,RNW,ReNew Energy Global plc Class A Ordinary Shares
579,ROIC,Retail Opportunity Investments Corp. Common Stock (MD)
580,ROIV,Roivant Sciences Ltd. Common Shares
581,ROKU,Roku Inc. Class A Common Stock
582,ROLL,RBC Bearings Incorporated Common Stock
583,ROST,Ross Stores Inc. Common Stock
584,RPD,Rapid7 Inc. Common Stock
585,RPRX,Royalty Pharma plc Class A Ordinary Shares 
586,RRR,Red Rock Resorts Inc. Class A Common Stock
587,RUN,Sunrun Inc. Common Stock
588,RUSHA,Rush Enterprises Inc. Common Stock Cl A
589,RUSHB,Rush Enterprises Inc. Class B
590,RXT,Rackspace Technology Inc. Common Stock
591,RYAAY,Ryanair Holdings plc American Depositary Shares
592,SABR,Sabre Corporation Common Stock
593,SAFM,Sanderson Farms Inc. Common Stock
594,SAGE,Sage Therapeutics Inc. Common Stock
595,SAIA,Saia Inc. Common Stock
596,SANM,Sanmina Corporation Common Stock
597,SASR,Sandy Spring Bancorp Inc. Common Stock
598,SATS,EchoStar  Corporation Common Stock
599,SBAC,SBA Communications Corporation Class A Common Stock
600,SBCF,Seacoast Banking Corporation of Florida Common Stock
601,SBGI,Sinclair Broadcast Group Inc. Class A Common Stock
602,SBLK,Star Bulk Carriers Corp. Common Shares
603,SBNY,Signature Bank Common Stock
604,SBRA,Sabra Health Care REIT Inc. Common Stock
605,SBUX,Starbucks Corporation Common Stock
606,SEDG,SolarEdge Technologies Inc. Common Stock
607,SEIC,SEI Investments Company Common Stock
608,SFM,Sprouts Farmers Market Inc. Common Stock
609,SFNC,Simmons First National Corporation Class A Common Stock
610,SGEN,Seagen Inc. Common Stock
611,SGMS,Scientific Games Corp Common Stock
612,SGRY,Surgery Partners Inc. Common Stock
613,SHC,Sotera Health Company Common Stock
614,SHOO,Steven Madden Ltd. Common Stock
615,SIGI,Selective Insurance Group Inc. Common Stock
616,SIMO,Silicon Motion Technology Corporation American Depositary Shares
617,SIRI,Sirius XM Holdings Inc. Common Stock
618,SITM,SiTime Corporation Common Stock
619,SIVB,SVB Financial Group Common Stock
620,SLAB,Silicon Laboratories Inc. Common Stock
621,SLGN,Silgan Holdings Inc. Common Stock
622,SLM,SLM Corporation Common Stock
623,SMCI,Super Micro Computer Inc. Common Stock
624,SMPL,The Simply Good Foods Company Common Stock
625,SMTC,Semtech Corporation Common Stock
626,SNPS,Synopsys Inc. Common Stock
627,SNY,Sanofi ADS
628,SOFI,SoFi Technologies Inc. Common Stock  
629,SONO,Sonos Inc. Common Stock
630,SPLK,Splunk Inc. Common Stock
631,SPSC,SPS Commerce Inc. Common Stock
632,SPT,Sprout Social Inc Class A Common Stock
633,SPWR,SunPower Corporation Common Stock
634,SRAD,Sportradar Group AG Class A Ordinary Shares
635,SRCL,Stericycle Inc. Common Stock
636,SRPT,Sarepta Therapeutics Inc. Common Stock (DE)
637,SSB,SouthState Corporation Common Stock
638,SSNC,SS&C Technologies Holdings Inc. Common Stock
639,SSRM,SSR Mining Inc. Common Stock
640,STAA,STAAR Surgical Company Common Stock
641,STFC,State Auto Financial Corporation Common Stock
642,STLD,Steel Dynamics Inc.
643,STNE,StoneCo Ltd. Class A Common Shares
644,STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
645,SWAV,ShockWave Medical Inc. Common Stock
646,SWKS,Skyworks Solutions Inc. Common Stock
647,SWTX,SpringWorks Therapeutics Inc. Common Stock
648,SYNA,Synaptics Incorporated Common Stock $0.001 Par Value
649,SYNH,Syneos Health Inc. Class A Common Stock
650,TASK,TaskUs Inc. Class A Common Stock
651,TBK,Triumph Bancorp Inc. Common Stock
652,TCBI,Texas Capital Bancshares Inc. Common Stock
653,TCOM,Trip.com Group Limited American Depositary Shares
654,TEAM,Atlassian Corporation Plc Class A Ordinary Shares
655,TECH,Bio-Techne Corp Common Stock
656,TENB,Tenable Holdings Inc. Common Stock
657,TER,Teradyne Inc. Common Stock
658,TFSL,TFS Financial Corporation Common Stock
659,THRM,Gentherm Inc Common Stock
660,TIGO,Millicom International Cellular S.A. Common Stock
661,TLRY,Tilray Brands Inc. Class 2 Common Stock 
662,TMUS,T-Mobile US Inc. Common Stock
663,TNDM,Tandem Diabetes Care Inc. Common Stock
664,TOWN,TowneBank Common Stock
665,TPG,TPG Inc. Class A Common Stock
666,TRIP,TripAdvisor Inc. Common Stock
667,TRMB,Trimble Inc. Common Stock
668,TROW,T. Rowe Price Group Inc. Common Stock
669,TRUP,Trupanion Inc. Common Stock
670,TSCO,Tractor Supply Company Common Stock
671,TSEM,Tower Semiconductor Ltd. Ordinary Shares
672,TSLA,Tesla Inc. Common Stock
673,TSP,TuSimple Holdings Inc. Class A Common Stock
674,TTD,The Trade Desk Inc. Class A Common Stock
675,TTEC,TTEC Holdings Inc. Common Stock
676,TTEK,Tetra Tech Inc. Common Stock
677,TTGT,TechTarget Inc. Common Stock
678,TTWO,Take-Two Interactive Software Inc. Common Stock
679,TW,Tradeweb Markets Inc. Class A Common Stock
680,TWKS,Thoughtworks Holding Inc. Common Stock
681,TWNK,Hostess Brands Inc. Class A Common Stock
682,TWST,Twist Bioscience Corporation Common Stock
683,TXG,10x Genomics Inc. Class A Common Stock
684,TXN,Texas Instruments Incorporated Common Stock
685,TXRH,Texas Roadhouse Inc. Common Stock
686,UAL,United Airlines Holdings Inc. Common Stock
687,UBSI,United Bankshares Inc. Common Stock
688,UCBI,United Community Banks Inc. Common Stock
689,UCTT,Ultra Clean Holdings Inc. Common Stock
690,UDMY,Udemy Inc. Common Stock
691,UFPI,UFP Industries Inc. Common Stock
692,UHAL,Amerco Common Stock
693,ULCC,Frontier Group Holdings Inc. Common Stock
694,ULTA,Ulta Beauty Inc. Common Stock
695,UMBF,UMB Financial Corporation Common Stock
696,UMPQ,Umpqua Holdings Corporation Common Stock
697,UNIT,Uniti Group Inc. Common Stock
698,UPST,Upstart Holdings Inc. Common stock
699,UPWK,Upwork Inc. Common Stock
700,URBN,Urban Outfitters Inc. Common Stock
701,UTHR,United Therapeutics Corporation Common Stock
702,VC,Visteon Corporation Common Stock
703,VCSA,Vacasa Inc. Class A Common Stock
704,VCTR,Victory Capital Holdings Inc. Class A Common Stock
705,VEON,VEON Ltd. ADS
706,VERX,Vertex Inc. Class A Common Stock
707,VG,Vonage Holdings Corp. Common Stock
708,VIAC,ViacomCBS Inc. Class B Common Stock
709,VIACA,ViacomCBS Inc. Class A Common Stock
710,VIAV,Viavi Solutions Inc. Common Stock
711,VICR,Vicor Corporation Common Stock
712,VIR,Vir Biotechnology Inc. Common Stock
713,VIRT,Virtu Financial Inc. Class A Common Stock
714,VLY,Valley National Bancorp Common Stock
715,VMEO,Vimeo Inc. Common Stock
716,VNOM,Viper Energy Partners LP Common Unit
717,VOD,Vodafone Group Plc American Depositary Shares
718,VORB,Virgin Orbit Holdings Inc. Common Stock
719,VRNS,Varonis Systems Inc. Common Stock
720,VRNT,Verint Systems Inc. Common Stock
721,VRRM,Verra Mobility Corporation Class A Common Stock
722,VRSK,Verisk Analytics Inc. Common Stock
723,VRSN,VeriSign Inc. Common Stock
724,VRTX,Vertex Pharmaceuticals Incorporated Common Stock
725,VSAT,ViaSat Inc. Common Stock
726,VTRS,Viatris Inc. Common Stock
727,WAFD,Washington Federal Inc. Common Stock
728,WB,Weibo Corporation American Depositary Share
729,WBA,Walgreens Boots Alliance Inc. Common Stock
730,WDAY,Workday Inc. Class A Common Stock
731,WDC,Western Digital Corporation Common Stock
732,WDFC,WD-40 Company Common Stock
733,WEN,Wendy's Company (The) Common Stock
734,WERN,Werner Enterprises Inc. Common Stock
735,WFRD,Weatherford International plc Ordinary Shares
736,WING,Wingstop Inc. Common Stock
737,WIRE,Encore Wire Corporation Common Stock
738,WIX,Wix.com Ltd. Ordinary Shares
739,WMG,Warner Music Group Corp. Class A Common Stock
740,WOOF,Petco Health and Wellness Company Inc. Class A Common Stock
741,WSBC,WesBanco Inc. Common Stock
742,WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock
743,WSFS,WSFS Financial Corporation Common Stock
744,WTFC,Wintrust Financial Corporation Common Stock
745,WTW,Willis Towers Watson Public Limited Company Ordinary Shares
746,WWD,Woodward Inc. Common Stock
747,WYNN,Wynn Resorts Limited Common stock
748,XEL,Xcel Energy Inc. Common Stock
749,XLNX,Xilinx Inc. Common Stock
750,XM,Qualtrics International Inc. Class A Common Stock
751,XMTR,Xometry Inc. Class A Common Stock
752,XP,XP Inc. Class A Common Stock
753,XRAY,DENTSPLY SIRONA Inc. Common Stock
754,XRX,Xerox Holdings Corporation Common Stock
755,YNDX,Yandex N.V. Class A Ordinary Shares
756,YY,JOYY Inc. American Depositary Shares
757,Z,Zillow Group Inc. Class C Capital Stock
758,ZBRA,Zebra Technologies Corporation Class A Common Stock
759,ZD,Ziff Davis Inc. Common Stock
760,ZG,Zillow Group Inc. Class A Common Stock
761,ZI,ZoomInfo Technologies Inc Class A Common Stock
762,ZION,Zions Bancorporation N.A. Common Stock
763,ZLAB,Zai Lab Limited American Depositary Shares
764,ZM,Zoom Video Communications Inc. Class A Common Stock
765,ZNGA,Zynga Inc. Class A Common Stock
766,ZNTL,Zentalis Pharmaceuticals Inc. Common Stock
767,ZS,Zscaler Inc. Common Stock
