id,ticker,stonk
131,CHDN,Churchill Downs Incorporated Common Stock
132,CHK,Chesapeake Energy Corporation Common Stock
133,CHKP,Check Point Software Technologies Ltd. Ordinary Shares
134,CHNG,Change Healthcare Inc. Common Stock
135,CHRW,C.H. Robinson Worldwide Inc. Common Stock
136,CHTR,Charter Communications Inc. Class A Common Stock New
137,CHX,ChampionX Corporation Common Stock 
138,CIGI,Colliers International Group Inc. Subordinate Voting Shares
139,CINF,Cincinnati Financial Corporation Common Stock
140,CLBK,Columbia Financial Inc. Common Stock
141,CMCSA,Comcast Corporation Class A Common Stock
142,CME,CME Group Inc. Class A Common Stock
143,CNXC,Concentrix Corporation Common Stock
144,COHR,Coherent Inc. Common Stock
145,COIN,Coinbase Global Inc. Class A Common Stock
146,COKE,Coca-Cola Consolidated Inc. Common Stock
147,COLB,Columbia Banking System Inc. Common Stock
148,COLM,Columbia Sportswear Company Common Stock
149,CONE,CyrusOne Inc Common Stock
150,COOP,Mr. Cooper Group Inc. Common Stock
151,CORT,Corcept Therapeutics Incorporated Common Stock
152,CORZ,Core Scientific Inc. Common Stock
153,COST,Costco Wholesale Corporation Common Stock
154,COUP,Coupa Software Incorporated Common Stock
155,CPRT,Copart Inc. (DE) Common Stock
156,CRCT,Cricut Inc. Class A Common Stock
157,CRNC,Cerence Inc. Common Stock
158,CROX,Crocs Inc. Common Stock
159,CRSP,CRISPR Therapeutics AG Common Shares
160,CRUS,Cirrus Logic Inc. Common Stock
161,CRVL,CorVel Corp. Common Stock
162,CRWD,CrowdStrike Holdings Inc. Class A Common Stock
163,CSCO,Cisco Systems Inc. Common Stock (DE)
164,CSGP,CoStar Group Inc. Common Stock
165,CSQ,Calamos Strategic Total Return Common Stock
166,CSX,CSX Corporation Common Stock
167,CTAS,Cintas Corporation Common Stock
168,CTRE,CareTrust REIT Inc. Common Stock
169,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
170,CTXS,Citrix Systems Inc. Common Stock
171,CVAC,CureVac N.V. Ordinary Shares
172,CVBF,CVB Financial Corporation Common Stock
173,CVCO,Cavco Industries Inc. Common Stock When Issued
174,CVET,Covetrus Inc. Common Stock
175,CVLT,Commvault Systems Inc. Common Stock
176,CVT,Cvent Holding Corp. Common Stock
177,CWST,Casella Waste Systems Inc. Class A Common Stock
178,CYBR,CyberArk Software Ltd. Ordinary Shares
179,CYTK,Cytokinetics Incorporated Common Stock
180,CZR,Caesars Entertainment Inc. Common Stock
181,DADA,Dada Nexus Limited American Depositary Shares
182,DAVE,Dave Inc. Class A Common Stock
183,DBX,Dropbox Inc. Class A Common Stock
184,DCT,Duck Creek Technologies Inc. Common Stock
185,DDOG,Datadog Inc. Class A Common Stock
186,DH,Definitive Healthcare Corp. Class A Common Stock
187,DIOD,Diodes Incorporated Common Stock
188,DISCA,Discovery Inc. Series A Common Stock
189,DISCB,Discovery Inc. Series B Common Stock
190,DISCK,Discovery Inc. Series C Common Stock
191,DISH,DISH Network Corporation Class A Common Stock
192,DKNG,DraftKings Inc. Class A Common Stock
193,DLO,DLocal Limited Class A Common Shares
194,DLTR,Dollar Tree Inc. Common Stock
195,DNLI,Denali Therapeutics Inc. Common Stock
196,DNUT,Krispy Kreme Inc. Common Stock
197,DOCU,DocuSign Inc. Common Stock
198,DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares
199,DORM,Dorman Products Inc. Common Stock
200,DOX,Amdocs Limited Ordinary Shares
201,DRVN,Driven Brands Holdings Inc. Common Stock
202,DSEY,Diversey Holdings Ltd. Ordinary Shares
203,DSGX,Descartes Systems Group Inc. (The) Common Stock
204,DUOL,Duolingo Inc. Class A Common Stock
205,DWAC,Digital World Acquisition Corp. Class A Common Stock
206,DXCM,DexCom Inc. Common Stock
207,EA,Electronic Arts Inc. Common Stock
208,EBAY,eBay Inc. Common Stock
