id,ticker,stonk
1,FUTU,Futu Holdings Ltd
2,MVIS,Microvision
3,SI,Silvergate Capital Corp Cl A
4,EXPI,Exp Realty International
5,RIOT,Riot Blockchain Inc
6,DNM.W,Danimer Scientific Inc WT
7,TSLA,Tesla
8,TSLA,Tesla Inc.
9,KIRK,Kirkland's Inc
10,KOPN,Kopin Cp
11,AAL,American Airlines Group Inc. Common Stock
12,AAON,AAON Inc. Common Stock
13,AAPL,Apple Inc. Common Stock
14,AAWW,Atlas Air Worldwide Holdings NEW Common Stock
15,ABCB,Ameris Bancorp Common Stock
16,ABCL,AbCellera Biologics Inc. Common Shares
17,ABCM,Abcam plc American Depositary Shares
18,ABMD,ABIOMED Inc. Common Stock
19,ABNB,Airbnb Inc. Class A Common Stock
20,ACAD,ACADIA Pharmaceuticals Inc. Common Stock
21,ACGL,Arch Capital Group Ltd. Common Stock
22,ACHC,Acadia Healthcare Company Inc. Common Stock
23,ACIW,ACI Worldwide Inc. Common Stock
24,ACT,Enact Holdings Inc. Common Stock
25,ADBE,Adobe Inc. Common Stock
26,ADI,Analog Devices Inc. Common Stock
27,ADP,Automatic Data Processing Inc. Common Stock
28,ADPT,Adaptive Biotechnologies Corporation Common Stock
29,ADSK,Autodesk Inc. Common Stock
30,ADV,Advantage Solutions Inc. Class A Common Stock
31,AEIS,Advanced Energy Industries Inc. Common Stock
32,AEP,American Electric Power Company Inc. Common Stock
33,AFRM,Affirm Holdings Inc. Class A Common Stock
34,AGNC,AGNC Investment Corp. Common Stock
35,AHCO,AdaptHealth Corp. Common Stock
36,AIMC,Altra Industrial Motion Corp. Common Stock
37,AKAM,Akamai Technologies Inc. Common Stock
38,ALGM,Allegro MicroSystems Inc. Common Stock
39,ALGN,Align Technology Inc. Common Stock
40,ALGT,Allegiant Travel Company Common Stock
41,ALKS,Alkermes plc Ordinary Shares
42,ALNY,Alnylam Pharmaceuticals Inc. Common Stock
43,ALRM,Alarm.com Holdings Inc. Common Stock
44,ALTR,Altair Engineering Inc. Class A Common Stock
45,AMAT,Applied Materials Inc. Common Stock
46,AMBA,Ambarella Inc. Ordinary Shares
47,AMD,Advanced Micro Devices Inc. Common Stock
48,AMED,Amedisys Inc Common Stock
49,AMEH,Apollo Medical Holdings Inc. Common Stock
50,AMGN,Amgen Inc. Common Stock
51,AMKR,Amkor Technology Inc. Common Stock
52,AMPL,Amplitude Inc. Class A Common Stock
53,AMZN,Amazon.com Inc. Common Stock
54,ANAT,American National Group Inc. Common Stock
55,ANGI,Angi Inc. Class A Common Stock
56,ANSS,ANSYS Inc. Common Stock
57,APA,APA Corporation Common Stock
58,APLS,Apellis Pharmaceuticals Inc. Common Stock
59,APP,Applovin Corporation Class A Common Stock
60,APPF,AppFolio Inc. Class A Common Stock
61,APPN,Appian Corporation Class A Common Stock
62,APPS,Digital Turbine Inc. Common Stock
63,ARCB,ArcBest Corporation Common Stock
64,ARCC,Ares Capital Corporation Common Stock
65,ARGX,argenx SE American Depositary Shares
66,ARNA,Arena Pharmaceuticals Inc. Common Stock
67,ARVL,Arrival Ordinary Shares
68,ARVN,Arvinas Inc. Common Stock
69,ARWR,Arrowhead Pharmaceuticals Inc. Common Stock
70,ASML,ASML Holding N.V. New York Registry Shares
71,ASND,Ascendis Pharma A/S American Depositary Shares
72,ASO,Academy Sports and Outdoors Inc. Common Stock
73,ATRC,AtriCure Inc. Common Stock
74,ATVI,Activision Blizzard Inc. Common Stock
75,AUB,Atlantic Union Bankshares Corporation Common Stock
76,AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
77,AUR,Aurora Innovation Inc. Class A Common Stock
78,AVGO,Broadcom Inc. Common Stock
79,AVT,Avnet Inc. Common Stock
80,AXNX,Axonics Inc. Common Stock
81,AXON,Axon Enterprise Inc. Common Stock
82,AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
83,AZN,AstraZeneca PLC American Depositary Shares
84,AZPN,Aspen Technology Inc. Common Stock
85,AZTA,Azenta Inc.
86,BANF,BancFirst Corporation Common Stock
87,BANR,Banner Corporation Common Stock
88,BCPC,Balchem Corporation Common Stock
89,BCRX,BioCryst Pharmaceuticals Inc. Common Stock
90,BEAM,Beam Therapeutics Inc. Common Stock
91,BECN,Beacon Roofing Supply Inc. Common Stock
92,BGNE,BeiGene Ltd. American Depositary Shares
93,BHF,Brighthouse Financial Inc. Common Stock
94,BIDU,Baidu Inc. ADS
95,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock
96,BIIB,Biogen Inc. Common Stock
97,BILI,Bilibili Inc. American Depositary Shares
98,BKNG,Booking Holdings Inc. Common Stock
99,BKR,Baker Hughes Company Class A Common Stock
100,BL,BlackLine Inc. Common Stock
101,BLDP,Ballard Power Systems Inc. Common Shares
102,BLKB,Blackbaud Inc. Common Stock
103,BMBL,Bumble Inc. Class A Common Stock
104,BMRN,BioMarin Pharmaceutical Inc. Common Stock
105,BNTX,BioNTech SE American Depositary Share
106,BOKF,BOK Financial Corporation Common Stock
107,BPMC,Blueprint Medicines Corporation Common Stock
108,BPOP,Popular Inc. Common Stock
109,BRKR,Bruker Corporation Common Stock
110,BRZE,Braze Inc. Class A Common Stock
111,BSY,Bentley Systems Incorporated Class B Common Stock
112,BYND,Beyond Meat Inc. Common Stock
113,BZ,KANZHUN LIMITED American Depository Shares
114,CACC,Credit Acceptance Corporation Common Stock
115,CAR,Avis Budget Group Inc. Common Stock
116,CARG,CarGurus Inc. Class A Common Stock 
117,CASY,Casey's General Stores Inc. Common Stock
118,CATY,Cathay General Bancorp Common Stock
119,CBRL,Cracker Barrel Old Country Store Inc Common Stock
120,CBSH,Commerce Bancshares Inc. Common Stock
121,CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
122,CCMP,CMC Materials Inc. Common Stock
123,CCOI,Cogent Communications Holdings Inc.
124,CDEV,Centennial Resource Development Inc. Class A Common Stock
125,CDK,CDK Global Inc. Common Stock
126,CDLX,Cardlytics Inc. Common Stock
127,CDNA,CareDx Inc. Common Stock
128,CDNS,Cadence Design Systems Inc. Common Stock
129,CDW,CDW Corporation Common Stock
130,CEGVV,Constellation Energy Corporation Common Stock When-Issued
131,CELH,Celsius Holdings Inc. Common Stock
132,CENT,Central Garden & Pet Company Common Stock
133,CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting
134,CERE,Cerevel Therapeutics Holdings Inc. Common Stock
135,CERN,Cerner Corporation Common Stock
136,CERT,Certara Inc. Common Stock
137,CFLT,Confluent Inc. Class A Common Stock
138,CG,The Carlyle Group Inc. Common Stock
139,CGC,Canopy Growth Corporation Common Shares
140,CGNX,Cognex Corporation Common Stock
141,CHDN,Churchill Downs Incorporated Common Stock
142,CHK,Chesapeake Energy Corporation Common Stock
143,CHKP,Check Point Software Technologies Ltd. Ordinary Shares
144,CHNG,Change Healthcare Inc. Common Stock
145,CHRW,C.H. Robinson Worldwide Inc. Common Stock
146,CHTR,Charter Communications Inc. Class A Common Stock New
147,CHX,ChampionX Corporation Common Stock 
148,CIGI,Colliers International Group Inc. Subordinate Voting Shares
149,CINF,Cincinnati Financial Corporation Common Stock
150,CLBK,Columbia Financial Inc. Common Stock
151,CMCSA,Comcast Corporation Class A Common Stock
152,CME,CME Group Inc. Class A Common Stock
153,CNXC,Concentrix Corporation Common Stock
154,COHR,Coherent Inc. Common Stock
155,COIN,Coinbase Global Inc. Class A Common Stock
156,COKE,Coca-Cola Consolidated Inc. Common Stock
157,COLB,Columbia Banking System Inc. Common Stock
158,COLM,Columbia Sportswear Company Common Stock
159,CONE,CyrusOne Inc Common Stock
160,COOP,Mr. Cooper Group Inc. Common Stock
161,CORT,Corcept Therapeutics Incorporated Common Stock
162,CORZ,Core Scientific Inc. Common Stock
163,COST,Costco Wholesale Corporation Common Stock
164,COUP,Coupa Software Incorporated Common Stock
165,CPRT,Copart Inc. (DE) Common Stock
166,CRCT,Cricut Inc. Class A Common Stock
167,CRNC,Cerence Inc. Common Stock
168,CROX,Crocs Inc. Common Stock
169,CRSP,CRISPR Therapeutics AG Common Shares
170,CRUS,Cirrus Logic Inc. Common Stock
171,CRVL,CorVel Corp. Common Stock
172,CRWD,CrowdStrike Holdings Inc. Class A Common Stock
173,CSCO,Cisco Systems Inc. Common Stock (DE)
174,CSGP,CoStar Group Inc. Common Stock
175,CSQ,Calamos Strategic Total Return Common Stock
176,CSX,CSX Corporation Common Stock
177,CTAS,Cintas Corporation Common Stock
178,CTRE,CareTrust REIT Inc. Common Stock
179,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
180,CTXS,Citrix Systems Inc. Common Stock
181,CVAC,CureVac N.V. Ordinary Shares
182,CVBF,CVB Financial Corporation Common Stock
183,CVCO,Cavco Industries Inc. Common Stock When Issued
184,CVET,Covetrus Inc. Common Stock
185,CVLT,Commvault Systems Inc. Common Stock
186,CVT,Cvent Holding Corp. Common Stock
187,CWST,Casella Waste Systems Inc. Class A Common Stock
188,CYBR,CyberArk Software Ltd. Ordinary Shares
189,CYTK,Cytokinetics Incorporated Common Stock
190,CZR,Caesars Entertainment Inc. Common Stock
191,DADA,Dada Nexus Limited American Depositary Shares
192,DAVE,Dave Inc. Class A Common Stock
193,DBX,Dropbox Inc. Class A Common Stock
194,DCT,Duck Creek Technologies Inc. Common Stock
195,DDOG,Datadog Inc. Class A Common Stock
196,DH,Definitive Healthcare Corp. Class A Common Stock
197,DIOD,Diodes Incorporated Common Stock
198,DISCA,Discovery Inc. Series A Common Stock
199,DISCB,Discovery Inc. Series B Common Stock
200,DISCK,Discovery Inc. Series C Common Stock
201,DISH,DISH Network Corporation Class A Common Stock
202,DKNG,DraftKings Inc. Class A Common Stock
203,DLO,DLocal Limited Class A Common Shares
204,DLTR,Dollar Tree Inc. Common Stock
205,DNLI,Denali Therapeutics Inc. Common Stock
206,DNUT,Krispy Kreme Inc. Common Stock
207,DOCU,DocuSign Inc. Common Stock
208,DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares
209,DORM,Dorman Products Inc. Common Stock
210,DOX,Amdocs Limited Ordinary Shares
211,DRVN,Driven Brands Holdings Inc. Common Stock
212,DSEY,Diversey Holdings Ltd. Ordinary Shares
213,DSGX,Descartes Systems Group Inc. (The) Common Stock
214,DUOL,Duolingo Inc. Class A Common Stock
215,DWAC,Digital World Acquisition Corp. Class A Common Stock
216,DXCM,DexCom Inc. Common Stock
217,EA,Electronic Arts Inc. Common Stock
218,EBAY,eBay Inc. Common Stock
219,EBC,Eastern Bankshares Inc. Common Stock
220,EEFT,Euronet Worldwide Inc. Common Stock
221,ENPH,Enphase Energy Inc. Common Stock
222,ENSG,The Ensign Group Inc. Common Stock
223,ENTG,Entegris Inc. Common Stock
224,ENVX,Enovix Corporation Common Stock
225,EPAY,Bottomline Technologies Inc. Common Stock
226,EQIX,Equinix Inc. Common Stock REIT
227,EQRX,EQRx Inc.  Common Stock
228,ERIC,Ericsson American Depositary Shares
229,ERIE,Erie Indemnity Company Class A Common Stock
230,ESGR,Enstar Group Limited Ordinary Shares
231,ESLT,Elbit Systems Ltd. Ordinary Shares
232,ETSY,Etsy Inc. Common Stock
233,EVCM,EverCommerce Inc. Common Stock
234,EVO,Evotec SE American Depositary Shares
235,EWBC,East West Bancorp Inc. Common Stock
236,EXAS,Exact Sciences Corporation Common Stock
237,EXC,Exelon Corporation Common Stock
238,EXEL,Exelixis Inc. Common Stock
239,EXFY,Expensify Inc. Class A Common Stock
240,EXLS,ExlService Holdings Inc. Common Stock
241,EXPD,Expeditors International of Washington Inc. Common Stock
242,EXPE,Expedia Group Inc. Common Stock
243,EXPI,eXp World Holdings Inc. Common Stock
244,EXPO,Exponent Inc. Common Stock
245,EYE,National Vision Holdings Inc. Common Stock
246,FA,First Advantage Corporation Common Stock
247,FANG,Diamondback Energy Inc. Commmon Stock
248,FAST,Fastenal Company Common Stock
249,FATE,Fate Therapeutics Inc. Common Stock
250,FB,Meta Platforms Inc. Class A Common Stock
251,FCFS,FirstCash Holdings Inc. Common Stock
252,FCNCA,First Citizens BancShares Inc. Class A Common Stock
253,FELE,Franklin Electric Co. Inc. Common Stock
254,FFBC,First Financial Bancorp. Common Stock
255,FFIN,First Financial Bankshares Inc. Common Stock
256,FFIV,F5 Inc. Common Stock
257,FHB,First Hawaiian Inc. Common Stock
258,FIBK,First Interstate BancSystem Inc. Class A Common Stock
259,FISV,Fiserv Inc. Common Stock
260,FITB,Fifth Third Bancorp Common Stock
261,FIVE,Five Below Inc. Common Stock
262,FIVN,Five9 Inc. Common Stock
263,FIZZ,National Beverage Corp. Common Stock
264,FLEX,Flex Ltd. Ordinary Shares
265,FLYW,Flywire Corporation Voting Common Stock
266,FMBI,First Midwest Bancorp Inc. Common Stock
267,FOCS,Focus Financial Partners Inc. Class A Common Stock
268,FOLD,Amicus Therapeutics Inc. Common Stock
269,FORM,FormFactor Inc. FormFactor Inc. Common Stock
270,FOX,Fox Corporation Class B Common Stock
271,FOXA,Fox Corporation Class A Common Stock
272,FOXF,Fox Factory Holding Corp. Common Stock
273,FRHC,Freedom Holding Corp. Common Stock
274,FRME,First Merchants Corporation Common Stock
275,FROG,JFrog Ltd. Ordinary Shares
276,FRPT,Freshpet Inc. Common Stock
277,FRSH,Freshworks Inc. Class A Common Stock
278,FSLR,First Solar Inc. Common Stock
