id,ticker,stonk
279,FSV,FirstService Corporation Common Shares
280,FTDR,Frontdoor Inc. Common Stock
281,FTNT,Fortinet Inc. Common Stock
282,FULT,Fulton Financial Corporation Common Stock
283,FUTU,Futu Holdings Limited American Depositary Shares
284,FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock
285,FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock
286,FWRD,Forward Air Corporation Common Stock
287,FYBR,Frontier Communications Parent Inc. Common Stock
288,GBDC,Golub Capital BDC Inc. Common Stock
289,GDRX,GoodRx Holdings Inc. Class A Common Stock
290,GDS,GDS Holdings Limited ADS
291,GFS,GlobalFoundries Inc. Ordinary Shares
292,GH,Guardant Health Inc. Common Stock
293,GILD,Gilead Sciences Inc. Common Stock
294,GLBE,Global-E Online Ltd. Ordinary Shares
295,GLPG,Galapagos NV American Depositary Shares
296,GLPI,Gaming and Leisure Properties Inc. Common Stock
297,GMAB,Genmab A/S ADS
298,GNTX,Gentex Corporation Common Stock
299,GO,Grocery Outlet Holding Corp. Common Stock
300,GOOG,Alphabet Inc. Class C Capital Stock
301,GOOGL,Alphabet Inc. Class A Common Stock
302,GRAB,Grab Holdings Limited Class A Ordinary Shares
303,GRFS,Grifols S.A. American Depositary Shares
304,GRUB,Just Eat Takeaway.com N.V. American Depositary Shares
305,GSHD,Goosehead Insurance Inc. Class A Common Stock
306,GT,The Goodyear Tire & Rubber Company Common Stock
307,GTLB,GitLab Inc. Class A Common Stock
308,HAIN,Hain Celestial Group Inc. (The) Common Stock
309,HALO,Halozyme Therapeutics Inc. Common Stock
310,HAS,Hasbro Inc. Common Stock
311,HBAN,Huntington Bancshares Incorporated Common Stock
312,HCM,HUTCHMED (China) Limited American Depositary Shares
313,HCP,HashiCorp Inc. Class A Common Stock
314,HELE,Helen of Troy Limited Common Stock
315,HHR,HeadHunter Group PLC American Depositary Shares
316,HLNE,Hamilton Lane Incorporated Class A Common Stock
317,HMHC,Houghton Mifflin Harcourt Company Common Stock
318,HOLX,Hologic Inc. Common Stock
319,HON,Honeywell International Inc. Common Stock
320,HOOD,Robinhood Markets Inc. Class A Common Stock
321,HOPE,Hope Bancorp Inc. Common Stock
322,HQY,HealthEquity Inc. Common Stock
323,HSIC,Henry Schein Inc. Common Stock
324,HST,Host Hotels & Resorts Inc. Common Stock
325,HTHT,Huazhu Group Limited American Depositary Shares
326,HTLF,Heartland Financial USA Inc. Common Stock
327,HTZ,Hertz Global Holdings Inc Common Stock
328,HUBG,Hub Group Inc. Class A Common Stock
329,HWC,Hancock Whitney Corporation Common Stock
330,HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares
331,IAC,IAC/InterActiveCorp Common Stock
332,IART,Integra LifeSciences Holdings Corporation Common Stock
333,IAS,Integral Ad Science Holding Corp. Common Stock
334,IBKR,Interactive Brokers Group Inc. Class A Common Stock
335,IBOC,International Bancshares Corporation Common Stock
336,IBRX,ImmunityBio Inc. Common Stock
337,IBTX,Independent Bank Group Inc Common Stock
338,ICLR,ICON plc Ordinary Shares
339,ICUI,ICU Medical Inc. Common Stock
340,IDCC,InterDigital Inc. Common Stock
341,IDXX,IDEXX Laboratories Inc. Common Stock
342,IEP,Icahn Enterprises L.P. Common Stock
343,IHRT,iHeartMedia Inc. Class A Common Stock
344,IIVI,II-VI Incorporated Common Stock
345,ILMN,Illumina Inc. Common Stock
346,INCY,Incyte Corp. Common Stock
347,INDB,Independent Bank Corp. Common Stock
348,INMD,InMode Ltd. Ordinary Shares
349,INSM,Insmed Inc. Common Stock
350,INTC,Intel Corporation Common Stock
351,INTU,Intuit Inc. Common Stock
352,IONS,Ionis Pharmaceuticals Inc. Common Stock
353,IOSP,Innospec Inc. Common Stock
354,IOVA,Iovance Biotherapeutics Inc. Common Stock
355,IPAR,Inter Parfums Inc. Common Stock
356,IPGP,IPG Photonics Corporation Common Stock
357,IQ,iQIYI Inc. American Depositary Shares
358,IRDM,Iridium Communications Inc Common Stock
359,IRTC,iRhythm Technologies Inc. Common Stock
360,ISBC,Investors Bancorp Inc. Common Stock
361,ISRG,Intuitive Surgical Inc. Common Stock
362,ITCI,Intra-Cellular Therapies Inc. Common Stock
363,ITRI,Itron Inc. Common Stock
364,JAMF,Jamf Holding Corp. Common Stock
365,JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland)
366,JBHT,J.B. Hunt Transport Services Inc. Common Stock
367,JBLU,JetBlue Airways Corporation Common Stock
368,JD,JD.com Inc. American Depositary Shares
369,JJSF,J & J Snack Foods Corp. Common Stock
370,JKHY,Jack Henry & Associates Inc. Common Stock
371,JOBS,51job Inc. American Depositary Shares
372,KDP,Keurig Dr Pepper Inc. Common Stock
373,KHC,The Kraft Heinz Company Common Stock
374,KLAC,KLA Corporation Common Stock
375,KLIC,Kulicke and Soffa Industries Inc. Common Stock
376,KNBE,KnowBe4 Inc. Class A Common Stock
377,KOD,Kodiak Sciences Inc Common Stock
378,KRNT,Kornit Digital Ltd. Ordinary Shares
379,KRTX,Karuna Therapeutics Inc. Common Stock
380,KTOS,Kratos Defense & Security Solutions Inc. Common Stock
381,LAMR,Lamar Advertising Company Class A Common Stock
382,LANC,Lancaster Colony Corporation Common Stock
383,LAUR,Laureate Education Inc. Common Stock
384,LAZR,Luminar Technologies Inc.  Class A Common Stock
385,LBRDA,Liberty Broadband Corporation Class A Common Stock
386,LBRDK,Liberty Broadband Corporation Class C Common Stock
387,LBTYA,Liberty Global plc Class A Ordinary Shares
388,LBTYB,Liberty Global plc Class B Ordinary Shares
389,LBTYK,Liberty Global plc Class C Ordinary Shares
390,LCID,Lucid Group Inc. Common Stock
391,LECO,Lincoln Electric Holdings Inc. Common Shares
392,LEGN,Legend Biotech Corporation American Depositary Shares
393,LESL,Leslie's Inc. Common Stock
394,LFST,LifeStance Health Group Inc. Common Stock
395,LFUS,Littelfuse Inc. Common Stock
396,LGIH,LGI Homes Inc. Common Stock
397,LHCG,LHC Group Common Stock
398,LI,Li Auto Inc. American Depositary Shares
399,LILA,Liberty Latin America Ltd. Class A Common Stock
400,LILAK,Liberty Latin America Ltd. Class C Common Stock
401,LITE,Lumentum Holdings Inc. Common Stock
402,LIVN,LivaNova PLC Ordinary Shares
403,LKFN,Lakeland Financial Corporation Common Stock
404,LKQ,LKQ Corporation Common Stock
405,LMDX,LumiraDx Limited Common Shares
406,LNT,Alliant Energy Corporation Common Stock
407,LOB,Live Oak Bancshares Inc. Common Stock
408,LOGI,Logitech International S.A. Ordinary Shares
409,LOPE,Grand Canyon Education Inc. Common Stock
410,LPLA,LPL Financial Holdings Inc. Common Stock
411,LPRO,Open Lending Corporation Class A Common Stock
412,LRCX,Lam Research Corporation Common Stock
413,LSCC,Lattice Semiconductor Corporation Common Stock
414,LSTR,Landstar System Inc. Common Stock
415,LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock
416,LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock
417,LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock
418,LULU,lululemon athletica inc. Common Stock
419,LYFT,Lyft Inc. Class A Common Stock
420,LZ,LegalZoom.com Inc. Common Stock
421,MANH,Manhattan Associates Inc. Common Stock
422,MANT,ManTech International Corporation Common Stock $0.01 Par Value
423,MAR,Marriott International Class A Common Stock
424,MARA,Marathon Digital Holdings Inc. Common Stock
425,MASI,Masimo Corporation Common Stock
426,MAT,Mattel Inc. Common Stock
427,MCFE,McAfee Corp. Class A Common Stock
428,MCHP,Microchip Technology Incorporated Common Stock
429,MDB,MongoDB Inc. Class A Common Stock
430,MDLZ,Mondelez International Inc. Class A Common Stock
431,MDRX,Allscripts Healthcare Solutions Inc. Common Stock
432,MEDP,Medpace Holdings Inc. Common Stock
433,MELI,MercadoLibre Inc. Common Stock
434,MEOH,Methanex Corporation Common Stock
435,MGEE,MGE Energy Inc
436,MIDD,Middleby Corporation (The) Common Stock
437,MIME,Mimecast Limited Ordinary Shares
438,MKSI,MKS Instruments Inc. Common Stock
439,MKTX,MarketAxess Holdings Inc. Common Stock
440,MLCO,Melco Resorts & Entertainment Limited American Depositary Shares
441,MLKN,MillerKnoll Inc. Common Stock
442,MMSI,Merit Medical Systems Inc. Common Stock
443,MMYT,MakeMyTrip Limited Ordinary Shares
444,MNDT,Mandiant Inc. Common Stock
445,MNDY,monday.com Ltd. Ordinary Shares
446,MNST,Monster Beverage Corporation
447,MNTV,Momentive Global Inc. Common Stock
448,MORN,Morningstar Inc. Common Stock
449,MPWR,Monolithic Power Systems Inc. Common Stock
450,MQ,Marqeta Inc. Class A Common Stock
451,MRCY,Mercury Systems Inc Common Stock
452,MRNA,Moderna Inc. Common Stock
453,MRTX,Mirati Therapeutics Inc. Common Stock
454,MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock
455,MRVL,Marvell Technology Inc. Common Stock
456,MSFT,Microsoft Corporation Common Stock
457,MSTR,MicroStrategy Incorporated Common Stock Class A
458,MTCH,Match Group Inc. Common Stock
459,MTSI,MACOM Technology Solutions Holdings Inc. Common Stock
460,MTTR,Matterport Inc. Class A Common Stock
461,MU,Micron Technology Inc. Common Stock
462,MXL,MaxLinear Inc. Common Stock
463,MYGN,Myriad Genetics Inc. Common Stock
464,NARI,Inari Medical Inc. Common Stock
465,NATI,National Instruments Corporation Common Stock
466,NAVI,Navient Corporation Common Stock
467,NBIX,Neurocrine Biosciences Inc. Common Stock
468,NCNO,nCino Inc. Common Stock
469,NDAQ,Nasdaq Inc. Common Stock
470,NDSN,Nordson Corporation Common Stock
471,NEO,NeoGenomics Inc. Common Stock
472,NEOG,Neogen Corporation Common Stock
473,NFE,New Fortress Energy Inc. Class A Common Stock
474,NFLX,Netflix Inc. Common Stock
475,NICE,NICE Ltd American Depositary Shares
476,NKLA,Nikola Corporation Common Stock
477,NLOK,NortonLifeLock Inc. Common Stock
478,NMIH,NMI Holdings Inc. Class A Common Stock
479,NMRK,Newmark Group Inc. Class A Common Stock
480,NOVT,Novanta Inc. Common Stock
481,NSIT,Insight Enterprises Inc. Common Stock
482,NTAP,NetApp Inc. Common Stock
483,NTCT,NetScout Systems Inc. Common Stock
484,NTES,NetEase Inc. American Depositary Shares
485,NTLA,Intellia Therapeutics Inc. Common Stock
486,NTNX,Nutanix Inc. Class A Common Stock
487,NTRA,Natera Inc. Common Stock
488,NTRS,Northern Trust Corporation Common Stock
489,NUAN,Nuance Communications Inc. Common Stock
490,NUVA,NuVasive Inc. Common Stock
491,NVAX,Novavax Inc. Common Stock
492,NVCR,NovoCure Limited Ordinary Shares
493,NVDA,NVIDIA Corporation Common Stock
494,NVEI,Nuvei Corporation Subordinate Voting Shares
495,NVMI,Nova Ltd. Ordinary Shares
496,NWE,NorthWestern Corporation Common Stock
497,NWL,Newell Brands Inc. Common Stock
498,NWS,News Corporation Class B Common Stock
499,NWSA,News Corporation Class A Common Stock
500,NXPI,NXP Semiconductors N.V. Common Stock
501,NXST,Nexstar Media Group Inc. Class A Common Stock
502,OAS,Oasis Petroleum Inc. Common Stock
503,OCDX,Ortho Clinical Diagnostics Holdings plc Ordinary Shares
504,ODFL,Old Dominion Freight Line Inc. Common Stock
505,ODP,The ODP Corporation Common Stock
506,OKTA,Okta Inc. Class A Common Stock
507,OLED,Universal Display Corporation Common Stock
508,OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock
509,OLPX,Olaplex Holdings Inc. Common Stock
510,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS
511,OMCL,Omnicell Inc. Common Stock ($0.001 par value)
512,ON,ON Semiconductor Corporation Common Stock
513,ONB,Old National Bancorp Common Stock
514,OPCH,Option Care Health Inc. Common Stock
515,OPEN,Opendoor Technologies Inc Common Stock
516,OPK,OPKO Health Inc. Common Stock
517,ORLY,O'Reilly Automotive Inc. Common Stock
518,OTEX,Open Text Corporation Common Shares
519,OTLY,Oatly Group AB American Depositary Shares
520,OTTR,Otter Tail Corporation Common Stock
521,OZK,Bank OZK Common Stock
522,OZON,Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share
523,PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests
524,PAAS,Pan American Silver Corp. Common Stock
525,PACB,Pacific Biosciences of California Inc. Common Stock
526,PACW,PacWest Bancorp Common Stock
527,PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests
528,PANW,Palo Alto Networks Inc. Common Stock
529,PAX,Patria Investments Limited Class A Common Shares
530,PAYX,Paychex Inc. Common Stock
531,PBCT,People's United Financial Inc. Common Stock
532,PCAR,PACCAR Inc. Common Stock
533,PCH,PotlatchDeltic Corporation Common Stock
534,PCRX,Pacira BioSciences Inc. Common Stock
535,PCTY,Paylocity Holding Corporation Common Stock
536,PDCE,PDC Energy Inc. Common Stock (Delaware)
537,PDCO,Patterson Companies Inc. Common Stock
538,PDD,Pinduoduo Inc. American Depositary Shares
539,PECO,Phillips Edison & Company Inc. Common Stock
540,PEGA,Pegasystems Inc. Common Stock
541,PENN,Penn National Gaming Inc. Common Stock
542,PEP,PepsiCo Inc. Common Stock
543,PFG,Principal Financial Group Inc Common Stock
544,PGNY,Progyny Inc. Common Stock
545,PINC,Premier Inc. Class A Common Stock
546,PLTK,Playtika Holding Corp. Common Stock
547,PLUG,Plug Power Inc. Common Stock
548,PLXS,Plexus Corp. Common Stock
549,PNFP,Pinnacle Financial Partners Inc. Common Stock
550,PODD,Insulet Corporation Common Stock
551,POOL,Pool Corporation Common Stock
552,POWI,Power Integrations Inc. Common Stock
553,PPBI,Pacific Premier Bancorp Inc
554,PPC,Pilgrim's Pride Corporation Common Stock
555,PRFT,Perficient Inc. Common Stock
556,PRGS,Progress Software Corporation Common Stock (DE)
557,PRVA,Privia Health Group Inc. Common Stock
558,PSEC,Prospect Capital Corporation Common Stock
559,PSMT,PriceSmart Inc. Common Stock
560,PTC,PTC Inc. Common Stock
561,PTCT,PTC Therapeutics Inc. Common Stock
562,PTEN,Patterson-UTI Energy Inc. Common Stock
563,PTON,Peloton Interactive Inc. Class A Common Stock
564,PYCR,Paycor HCM Inc. Common Stock
565,PYPL,PayPal Holdings Inc. Common Stock
566,PZZA,Papa John's International Inc. Common Stock
567,QCOM,QUALCOMM Incorporated Common Stock
568,QDEL,Quidel Corporation Common Stock
569,QFIN,360 DigiTech Inc. American Depositary Shares
570,QLYS,Qualys Inc. Common Stock
571,QRTEA,Qurate Retail Inc. Series A Common Stock 
